start_station_id,start_station_name,trip_count,avg_ride_duration_minutes
6140.05,W 21 St & 6 Ave,40915,11.56
5905.14,University Pl & E 14 St,34804,11.68
6822.09,1 Ave & E 68 St,31310,13.83
6331.01,W 31 St & 7 Ave,31122,12.49
6726.01,11 Ave & W 41 St,30898,13.45
6173.08,Broadway & W 25 St,30333,13.67
6364.07,6 Ave & W 33 St,29823,13.9
5329.03,West St & Chambers St,29481,19.01
5779.11,Ave A & E 14 St,29287,9.44
6197.08,E 33 St & 1 Ave,28586,12.59
6602.03,W 41 St & 8 Ave,28197,14.32
5980.07,E 17 St & Broadway,27412,12.86
6072.11,8 Ave & W 16 St,26634,11.53
5905.12,Broadway & E 14 St,26420,11.93
6450.12,8 Ave & W 33 St,26041,14.07
6765.01,12 Ave & W 40 St,25869,24.24
6306.06,W 22 St & 10 Ave,25749,12.92
6450.05,8 Ave & W 31 St,25513,14.2
6912.01,7 Ave & Central Park South,25345,26.36
5492.05,Cleveland Pl & Spring St,25290,15.75
